;Global Govie;Global (US) IG;Global (US) HY;Global stocks;EUR/USD
cov\return;-0.009398292;0.016236686;0.034381277;0.027917466;0.002386516
Global Govie;0.000931182;0.000728062;-0.000463973;-0.001318562;0.000698228
Global (US) IG;0.000728062;0.00156095;0.00204148;0.001529524;0.001480666
Global (US) HY;-0.000463973;0.00204148;0.009470968;0.010176514;0.002889567
Global stocks;-0.001318562;0.001529524;0.010176514;0.023791516;0.005896672
EUR/USD;0.000698228;0.001480666;0.002889567;0.005896672;0.011358475
