;Global Govie;Global (US) IG;Global (US) HY;Global stocks;EUR/USD
cov\return;0.003198638;0.026974546;0.049974878;0.047381301;0.010559016
Global Govie;0.00078978;0.00061967;-0.000112976;-0.000879212;-0.000629085
Global (US) IG;0.00061967;0.001054236;0.001058644;0.001155401;0.000162364
Global (US) HY;-0.000112976;0.001058644;0.002988455;0.005052802;0.001809242
Global stocks;-0.000879212;0.001155401;0.005052802;0.013088437;0.004532052
EUR/USD;-0.000629085;0.000162364;0.001809242;0.004532052;0.006687763
